termid,courseid,title,prof_string,all_listings_string,area,prereqs,descrip
"1164","012326","Intermediate Urdu II","Fauzia Farooqui","URD 107","","URD 105 or equivalent proficiency. See instructor for placement..","This is a continuing proficiency-based course which refines and expands previously acquired linguistic skills in culturally authentic contexts. Focus is on expanding vocabulary  mastering more complex grammatical structures  and acquiring idiomatic expressions. Use of authentic Urdu materials from print and electronic media  literature  and films. Equal emphasis on all skills (speaking  listening  reading  and writing). Various aspects of the target language culture will be integrated with instruction. Activities will be conducted in Urdu and classes will be interactive."
"1164","013569","Researching the Politics of Identity in the Real World","Madhavi Devasher","POL 475","SA","","What does the real world have to teach us about politics and society? A wealth of statistical data often discourages researchers  policy-makers  and non-profit professionals  from ever leaving their offices. Why then should one ever leave their office (or dorm room) to learn about the world? This seminar focuses on the politics of identity as a lens to explore the contributions of qualitative field research methods in understanding causal relationships  developing new theories and adding to our knowledge about politics. We will tackle these questions through classroom discussions and an independent  student-designed field research project."
"1164","004904","Descartes  Spinoza  and Leibniz","Daniel Garber","PHI 303 ECS 306","EC","","Reason over Sense  Mind over Matter: Descartes  Spinoza  Leibniz and others. In this course  we will be studying two main themes in the history of early modern philosophy: the relation between reason and the senses as sources of knowledge  and the relation between mind and matter. The central figures discussed will be Descartes  Spinoza  and Leibniz. Other figures treated my include Hobbes  Pascal  More  Malebranche and Berkeley."
"1164","000750","Nonlinear Processes in Fluids and Plasmas","John A. Krommes","AST 559 APC 539","","","A comprehensive introduction to the theory of nonlinear phenomena in fluids and plasmas  with emphasis on turbulence and transport. Experimental phenomenology; fundamental equations  including Navier-Stokes  Vlasov  and gyrokinetic; numerical simulation techniques  including pseudo-spectral and particle-in-cell methods; coherent structures; transition to turbulence; statistical closures  including the wave kinetic equation and direct-interaction approximation; PDF methods and intermittency; variational techniques. Applications from neutral fluids  fusion plasmas  and astrophysics."
"1164","001275","Culture and Society in Late Imperial China: 1000-1900","Benjamin A. Elman","EAS 340 HIS 340","HA","","A survey of the major cultural and social developments from early Song to high Qing which have particular relevance for understanding China in its modern predicament. Emphasis will be placed on the interplay between ideas and society  growth of new social institutions  and the emergence of classical elites and religious groups."
"1164","003039","Physics and Chemistry of Earth's Interior","Thomas S. Duffy","GEO 419 PHY 419","","One year of college-level chemistry or physics (preferably both) and calculus..","The Earth is a system whose past and present state can be studied within the framework of fundamental physics and chemistry. Topics include current concepts of geophysics and the physics and chemistry of Earth materials; origin and evolution of the Earth; and nature of dynamic processes in its interior. One emphasis is to relate geologic processes on a macroscopic scale to the fundamental materials properties of minerals and rocks."
"1164","010535","Engineering Projects in Community Service (EPICS)","Jay B. Benziger Michael G. Littman","EGR 351","","Completion of EGR 350.","In the Engineering Projects in Community Service (EPICS) program  students earn academic credit for their participation in multidisciplinary design teams that solve technology-based problems for local not-for-profit organizations. The teams are: multidisciplinary--drawing students from across engineering and around the university; vertically-integrated--maintaining a mix of sophomores through seniors each semester; and long-term--each student may participate in a project for up to six semesters. The continuity  technical depth  and disciplinary breadth of these teams enable delivery of projects of significant benefit to the community."
"1164","013550","Medieval Democracy: Italian City States of the Middle Ages","Alan M. Stahl","HIS 413","HA","","In the Middle Ages  dozens of city-states in Italy were governed by citizens elected by the populace (limited to men of property  as was the American republic in its early years). These communes grew out of the anarchy following the dissolution of the Roman Empire in the West and flourished by playing off the German emperors to the north against the Popes and their allies to the south. In the course of the later Middle Ages  many of these cities fell into the hands of foreign rulers or local warlords  but some remained republics well into the modern era."
"1164","013481","Baroque Art and Architecture","Carolina Mangone","ART 209 ARC 209","LA","","From circa 1580 through 1700  Western Europe experienced the division of the Christian world into Protestant and Catholic confessions  the centralization of power by monarchs  the development of the middle class and unparalleled colonial expansion. This course explores how artists and architects like Caravaggio  Bernini  Rembrandt  Borromini  Rubens and Velazquez responded to these and other cultural transformations. Through class lectures and the study of art in local museums  we will examine key themes such as artistic novelty  the affective language of religious art  the rise of new subject matter and the mobility of artists and objects."
"1164","009043","Ethics of Persuasion  The","Kristin Dombek","WRI 173","","","See the Princeton Writing Program website."
